,Year,COU,Country,Composting%,Disposal%,Landfill%,Material_recovery%,Recovery%,Recycling%,Amt_for_recovery_operations,Composting,Electronic_waste,Household_waste,Landfill,Municipal_waste_generated,Municipal_waste_generated_percapita,Municipal_waste_generated_1990,Municipal_waste_generated_2000,Municipal_waste_treated,Recycling,Total_Incineration,Waste_from_households,Country_y,CO2_emissions_percapita,Female_education_attainment_bach,Male_education_attainment_bach,Total_education_attainment_bach,Energy_use_percapita,Forest_area,GDP_2015_USD,GDP_growth%,GDP_percapita_2015_USD,GDP_percapita_growth%,Education_expense_%_of_gdp,Education_expense_%_of_total_exp,Population_density,Population_growth%,Population_female,Population_female_%,Population_total,Poverty_headcount%_ppp,Poverty_headcount%_national_line,Population_urban%,Population_urban_growth%
45,1992,LUX,Luxembourg,,,,,,,,,,,,195.52,499.54,87.442,68.541,,,,97.61,Luxembourg,29.1706508573978,,,,9262.08197870848,,27890285979.4902,1.81965245225082,71116.9400892209,0.476077003942294,,,,1.32834757125223,199943,50.9830172433616,392175,,,81.528,1.81761499447245
46,1992,MEX,Mexico,,97.644,97.644,2.356,2.356,2.356,517.5,,,,21450.04,21967.53,252.282,,71.479,21967.54,517.5,,17574.02,Mexico,3.3497507256262,,,,1503.67812230578,701495.9,675781907471.657,3.54110241594962,7760.90556403676,1.68311478511254,3.00501990318298,15.0957002639771,44.7928887059852,1.8107399038872,44088752,50.6329981500115,87075136,7.4,,72.209,2.35647975106847
47,1992,NOR,Norway,0.414,78.425,77.525,8.344,21.575,7.93,479.4,9.2,,,1722.6,2222.8,533.825,111.14,80.682,2222.0,176.2,314.0,1012.2,Norway,7.04553773666999,,,,5159.64861896962,121282.0,225258737211.946,3.57439553891901,52551.951441768,2.97830647409525,6.63613986968994,13.6660995483398,11.7357191357011,0.577180268126687,2167123,50.5581005827355,4286401,,,72.665,1.1291510622728
48,1992,POL,Poland,,,,,,,,,,,,10621.0,278.054,95.702,86.872,,,,7122.0,Poland,8.95039569601102,,,,2569.17533456851,89174.0,186006582199.231,2.51497860992519,4848.50893422755,2.20106584978102,4.1879301071167,,125.252757190898,0.306681390812185,19690268,51.3253009587935,38363667,,,61.359,0.378415404554878
49,1992,PRT,Portugal,,,,,,,,,,,,3270.0,328.6,109.0,69.507,,,,,Portugal,4.69932461149939,,,,1813.88584610048,33754.0,153487311625.174,1.08947640831229,15421.9948914487,1.16810329689687,4.33747005462646,10.585789680481,108.770426229508,-0.0777492667122609,5161233,51.8586858708481,9952494,,,49.13,1.27679359711296
50,1992,SVK,Slovak Republic,,,,,,,,,,,,1600.0,300.242,,116.9,,,,,Slovak Republic,8.68988896546212,,,,3410.72788470384,,35304367325.8203,,6654.90308150254,,5.35694980621338,,,0.0324651148981277,2718982,51.2530331510675,5305016,,,56.719,-0.0750145961482457
51,1992,USA,United States,2.512,65.52,65.52,19.271,34.48,16.758,67232.0,4899.0,,,127759.0,194990.0,758.744,103.203,88.289,194991.0,32677.0,29656.0,,United States,19.0228603507021,,,,7677.40140109312,3026672.0,10145647340000.0,3.52244052740502,39552.0218779482,2.09661276602233,,,28.0068916121481,1.38688569247935,130719657,50.9600479251755,256514000,0.5,,76.097,1.90863299657144
52,1993,AUT,Austria,15.606,47.474,47.474,37.751,52.526,22.145,1518.0,451.0,,,1372.0,3341.0,423.335,104.276,71.911,2890.0,640.0,410.0,2509.0,Austria,7.31124250265602,,,,3255.78470440001,37944.11,255460346929.86,0.526809203706492,32313.7118722637,-0.298754361000036,5.2519998550415,11.0731801986694,95.8026296655356,0.824627940995206,4103160,51.9017208244864,7905633,,,62.144,0.386303389032001
53,1993,BEL,Belgium,6.58,69.513,48.017,13.88,30.487,7.301,1353.0,292.0,,,2131.0,,,,,4438.0,324.0,1691.0,,Belgium,10.9187637432787,,,,4902.26997439133,7604.4,300491199097.648,-0.961873309776593,29797.4063198776,-1.34799970972101,5.37231016159058,10.1800298690796,,0.390638517826929,5149004,51.0587246325708,10084475,,,96.622,0.473469732274633
54,1993,CHE,Switzerland,8.454,15.7,15.7,33.096,84.301,24.642,3490.23,350.0,,,650.0,4140.2,602.742,100.966,87.512,4140.2,1020.23,2120.0,2760.2,Switzerland,6.2623725095539,,,,3490.88655449165,11663.04,466315004189.244,-0.125983737617119,67209.1660075312,-1.03142270498434,4.94043016433716,16.1592998504639,175.523413190316,0.910715565788466,3550005,51.165602479685,6938265,,,73.762,0.838886830242898
55,1993,CHN,China (People's Republic of),,,,,,,,,,,,87910.0,,129.914,74.38,,,,,China,2.24484063677404,,,,788.128723566749,1630985.78,1460237039293.46,13.8837293021031,1239.1271844926,12.5819966439285,1.65785002708435,14.7739496231079,125.03779973198,1.14961943083465,573790071,48.6906479211004,1178440000,62.7,,29.103,4.30154774283787
56,1993,DEU,Germany,5.444,53.835,51.325,28.778,28.778,23.334,10641.0,2013.0,,,18978.0,,,,,36976.0,8628.0,6429.0,24203.0,Germany,10.9302581733486,,,,4122.69573982757,113162.0,2484613432320.15,-0.976849818160517,30615.1402117435,-1.62568428424478,4.40791988372803,9.58296966552734,232.459793194317,0.657391218087626,41868773,51.5902529495836,81156363,0.0,,73.497,0.843967294783864
57,1993,DNK,Denmark,8.666,19.689,19.689,17.207,80.311,8.54,1909.0,206.0,,,468.0,,,,,2377.0,203.0,1500.0,,Denmark,11.44040389868,,,,3645.51534625338,5434.88,208860644214.547,0.0106876308268369,40253.5398981286,-0.321959929787013,7.77281999588013,13.8773698806763,129.7157,0.333166395661953,2627058,50.6310751154218,5188628,,,84.925,0.364949968719984
58,1993,ESP,Spain,10.838,84.757,83.792,11.795,15.243,0.958,2194.0,1559.96,,14393.77,12060.89,,,,,14393.77,137.84,635.08,,Spain,5.54047276228084,,,,2318.98298890925,148614.41,755242255879.622,-1.03149186343941,19187.4502367232,-1.54335837780363,4.2448902130127,10.0469999313354,78.8107920871376,0.518543520866421,20091016,51.0426110607434,39361262,,,75.692,0.626933309783586
